lapNo,No,gap,time,,,,,,,,,,,,
8,20,16.949,1:13.452,,,,,,,,,,,,
8,30,17.644,1:13.142,,,,,,,,,,,,
8,9,18.356,1:13.118,,,,,,,,,,,,
8,14,PIT,1:16.877,,,,,,,,,,,,
8,19,20.181,1:12.868,,,,,,,,,,,,
8,21,20.956,1:12.906,,,,,,,,,,,,
8,12,21.677,1:13.243,,,,,,,,,,,,
8,88,23.378,1:13.119,,,,,,,,,,,,
9,44,,1:11.502,,,,,,,,,,,,
9,7,3.717,1:11.415,,,,,,,,,,,,
9,6,6.954,1:12.439,,,,,,,,,,,,
9,33,7.407,1:11.980,,,,,,,,,,,,
9,5,9.494,1:13.019,,,,,,,,,,,,
9,3,9.752,1:12.601,,,,,,,,,,,,
9,22,PIT,1:17.158,,,,,,,,,,,,
9,77,PIT,1:15.824,,,,,,,,,,,,
9,94,16.870,1:13.285,,,,,,,,,,,,
9,8,17.929,1:13.142,,,,,,,,,,,,
9,55,PIT,1:16.506,,,,,,,,,,,,
9,20,19.139,1:13.692,,,,,,,,,,,,
9,11,PIT,1:16.865,,,,,,,,,,,,
9,30,19.785,1:13.643,,,,,,,,,,,,
9,9,20.269,1:13.415,,,,,,,,,,,,
9,19,21.702,1:13.023,,,,,,,,,,,,
9,21,22.476,1:13.022,,,,,,,,,,,,
9,12,22.966,1:12.791,,,,,,,,,,,,
9,88,25.029,1:13.153,,,,,,,,,,,,
9,27,32.900,1:29.976,,,,,,,,,,,,
9,14,36.697,1:29.285,,,,,,,,,,,,
10,44,0,1:11.511,,,,,,,,,,,,
10,7,3.483,1:11.277,,,,,,,,,,,,
10,33,7.712,1:11.816,,,,,,,,,,,,
10,5,9.424,1:11.441,,,,,,,,,,,,
10,3,10.206,1:11.965,,,,,,,,,,,,
10,6,PIT,1:15.197,,,,,,,,,,,,
10,94,18.338,1:12.979,,,,,,,,,,,,
10,8,19.498,1:13.080,,,,,,,,,,,,
10,20,21.525,1:13.897,,,,,,,,,,,,
10,30,22.281,1:14.007,,,,,,,,,,,,
10,9,22.966,1:14.208,,,,,,,,,,,,
10,19,23.519,1:13.328,,,,,,,,,,,,
10,21,23.923,1:12.958,,,,,,,,,,,,
10,12,24.711,1:13.256,,,,,,,,,,,,
10,88,26.636,1:13.118,,,,,,,,,,,,
10,22,31.573,1:30.693,,,,,,,,,,,,
10,27,33.252,1:11.863,,,,,,,,,,,,
10,77,34.427,1:29.172,,,,,,,,,,,,
10,55,37.633,1:31.194,,,,,,,,,,,,
10,14,38.275,1:13.089,,,,,,,,,,,,
10,11,38.859,1:30.854,,,,,,,,,,,,
11,44,0,1:11.208,,,,,,,,,,,,
11,7,4.153,1:11.878,,,,,,,,,,,,
11,33,7.923,1:11.419,,,,,,,,,,,,
11,5,9.856,1:11.640,,,,,,,,,,,,
11,3,10.581,1:11.583,,,,,,,,,,,,
11,94,20.156,1:13.026,,,,,,,,,,,,
11,8,21.490,1:13.200,,,,,,,,,,,,
11,30,25.377,1:14.304,,,,,,,,,,,,
11,19,27.180,1:14.869,,,,,,,,,,,,
11,21,27.260,1:14.545,,,,,,,,,,,,
11,12,27.480,1:13.977,,,,,,,,,,,,
11,20,PIT,1:17.458,,,,,,,,,,,,
11,9,27.802,1:16.044,,,,,,,,,,,,
11,6,29.174,1:29.742,,,,,,,,,,,,
11,88,29.742,1:14.314,,,,,,,,,,,,
11,22,32.306,1:11.941,,,,,,,,,,,,
11,27,33.879,1:11.835,,,,,,,,,,,,
11,77,35.179,1:11.960,,,,,,,,,,,,
11,14,39.193,1:12.126,,,,,,,,,,,,
11,55,39.729,1:13.304,,,,,,,,,,,,
11,11,40.157,1:12.506,,,,,,,,,,,,
12,44,0,1:11.449,,,,,,,,,,,,
12,7,4.395,1:11.691,,,,,,,,,,,,
12,33,7.907,1:11.433,,,,,,,,,,,,
12,5,9.888,1:11.481,,,,,,,,,,,,
12,3,10.759,1:11.627,,,,,,,,,,,,
12,94,21.717,1:13.010,,,,,,,,,,,,
12,8,23.046,1:13.005,,,,,,,,,,,,
12,21,28.902,1:13.091,,,,,,,,,,,,
12,12,29.549,1:13.518,,,,,,,,,,,,
12,30,PIT,1:16.672,,,,,,,,,,,,
12,6,30.959,1:13.234,,,,,,,,,,,,
12,88,32.916,1:14.623,,,,,,,,,,,,
12,22,33.257,1:12.400,,,,,,,,,,,,
12,19,PIT,1:17.542,,,,,,,,,,,,
12,27,34.396,1:11.966,,,,,,,,,,,,
12,77,35.652,1:11.922,,,,,,,,,,,,
12,9,PIT,1:19.730,,,,,,,,,,,,
12,14,39.951,1:12.207,,,,,,,,,,,,
12,55,41.036,1:12.756,,,,,,,,,,,,
12,11,41.549,1:12.841,,,,,,,,,,,,
12,20,47.354,1:31.028,,,,,,,,,,,,
13,44,0,1:11.875,,,,,,,,,,,,
13,7,4.283,1:11.763,,,,,,,,,,,,
13,33,7.430,1:11.398,,,,,,,,,,,,
13,5,9.550,1:11.537,,,,,,,,,,,,
13,3,10.542,1:11.658,,,,,,,,,,,,
13,8,24.459,1:13.288,,,,,,,,,,,,
13,94,PIT,1:17.021,,,,,,,,,,,,
13,21,29.947,1:12.920,,,,,,,,,,,,
13,6,30.434,1:11.350,,,,,,,,,,,,
13,12,31.007,1:13.333,,,,,,,,,,,,
13,22,33.547,1:12.165,,,,,,,,,,,,
13,27,35.319,1:12.798,,,,,,,,,,,,
13,88,36.163,1:15.122,,,,,,,,,,,,
13,77,36.254,1:12.477,,,,,,,,,,,,
13,14,39.968,1:11.892,,,,,,,,,,,,
13,55,41.948,1:12.787,,,,,,,,,,,,
13,11,42.603,1:12.929,,,,,,,,,,,,
13,20,47.598,1:12.119,,,,,,,,,,,,
13,30,48.781,1:30.056,,,,,,,,,,,,
13,19,50.569,1:29.171,,,,,,,,,,,,
13,9,56.294,1:32.086,,,,,,,,,,,,
14,44,0,1:12.083,,,,,,,,,,,,
14,7,3.775,1:11.575,,,,,,,,,,,,
14,33,6.679,1:11.332,,,,,,,,,,,,
14,5,9.051,1:11.584,,,,,,,,,,,,
14,3,PIT,1:14.776,,,,,,,,,,,,
14,8,25.230,1:12.854,,,,,,,,,,,,
14,6,29.089,1:10.738,,,,,,,,,,,,
14,21,31.294,1:13.430,,,,,,,,,,,,
14,12,32.250,1:13.326,,,,,,,,,,,,
14,22,33.299,1:11.835,,,,,,,,,,,,
14,27,35.408,1:12.172,,,,,,,,,,,,
14,77,36.390,1:12.219,,,,,,,,,,,,
14,88,38.540,1:14.460,,,,,,,,,,,,
14,14,39.980,1:12.095,,,,,,,,,,,,
14,11,43.233,1:12.713,,,,,,,,,,,,
14,55,43.813,1:13.948,,,,,,,,,,,,
14,94,46.850,1:32.070,,,,,,,,,,,,
14,20,47.590,1:12.075,,,,,,,,,,,,
14,30,49.031,1:12.333,,,,,,,,,,,,
14,19,50.468,1:11.982,,,,,,,,,,,,
14,9,56.913,1:12.702,,,,,,,,,,,,
15,44,0,1:11.778,,,,,,,,,,,,
15,7,3.494,1:11.497,,,,,,,,,,,,
15,5,8.752,1:11.479,,,,,,,,,,,,
15,33,PIT,1:14.848,,,,,,,,,,,,
15,8,26.548,1:13.096,,,,,,,,,,,,
15,6,27.380,1:10.069,,,,,,,,,,,,
15,3,29.895,1:28.438,,,,,,,,,,,,
15,21,32.458,1:12.942,,,,,,,,,,,,
15,12,33.372,1:12.900,,,,,,,,,,,,
15,22,33.852,1:12.331,,,,,,,,,,,,
15,27,35.594,1:11.964,,,,,,,,,,,,
15,77,36.735,1:12.123,,,,,,,,,,,,
15,88,40.177,1:13.415,,,,,,,,,,,,
15,14,40.759,1:12.557,,,,,,,,,,,,
15,11,42.769,1:11.314,,,,,,,,,,,,
15,55,44.111,1:12.076,,,,,,,,,,,,
15,94,47.295,1:12.223,,,,,,,,,,,,
15,20,47.865,1:12.053,,,,,,,,,,,,
15,30,49.561,1:12.308,,,,,,,,,,,,
15,19,50.404,1:11.714,,,,,,,,,,,,
15,9,57.251,1:12.116,,,,,,,,,,,,
16,44,0,1:11.544,,,,,,,,,,,,
16,7,3.290,1:11.340,,,,,,,,,,,,
16,5,8.827,1:11.619,,,,,,,,,,,,
16,6,26.379,1:10.543,,,,,,,,,,,,
16,33,27.583,1:29.378,,,,,,,,,,,,
16,8,29.242,1:14.238,,,,,,,,,,,,
16,3,29.769,1:11.418,,,,,,,,,,,,
16,21,33.666,1:12.752,,,,,,,,,,,,
16,12,34.395,1:12.567,,,,,,,,,,,,
16,22,34.870,1:12.562,,,,,,,,,,,,
16,27,36.104,1:12.054,,,,,,,,,,,,
16,77,37.368,1:12.177,,,,,,,,,,,,
16,14,40.864,1:11.649,,,,,,,,,,,,
16,88,42.217,1:13.584,,,,,,,,,,,,
16,11,42.642,1:11.417,,,,,,,,,,,,
16,55,44.525,1:11.958,,,,,,,,,,,,
16,94,47.728,1:11.977,,,,,,,,,,,,
16,20,48.366,1:12.045,,,,,,,,,,,,
16,30,50.037,1:12.020,,,,,,,,,,,,
16,19,50.821,1:11.961,,,,,,,,,,,,
16,9,58.165,1:12.458,,,,,,,,,,,,
17,44,0,1:11.352,,,,,,,,,,,,
17,7,3.519,1:11.581,,,,,,,,,,,,
17,5,8.951,1:11.476,,,,,,,,,,,,
17,6,25.800,1:10.773,,,,,,,,,,,,
17,33,26.942,1:10.711,,,,,,,,,,,,
17,3,29.222,1:10.805,,,,,,,,,,,,
17,8,31.572,1:13.682,,,,,,,,,,,,
17,21,35.690,1:13.376,,,,,,,,,,,,
17,12,35.842,1:12.799,,,,,,,,,,,,
17,22,36.427,1:12.909,,,,,,,,,,,,
17,27,37.183,1:12.431,,,,,,,,,,,,
17,77,38.179,1:12.163,,,,,,,,,,,,
17,14,41.172,1:11.660,,,,,,,,,,,,
17,11,42.767,1:11.477,,,,,,,,,,,,
17,88,44.876,1:14.011,,,,,,,,,,,,
17,55,45.475,1:12.302,,,,,,,,,,,,
17,94,48.243,1:11.867,,,,,,,,,,,,
17,20,49.039,1:12.025,,,,,,,,,,,,
17,30,50.429,1:11.744,,,,,,,,,,,,
17,19,51.448,1:11.979,,,,,,,,,,,,
17,9,58.748,1:11.935,,,,,,,,,,,,
18,44,0,1:11.658,,,,,,,,,,,,
18,7,3.972,1:12.111,,,,,,,,,,,,
18,5,8.894,1:11.601,,,,,,,,,,,,
18,6,24.641,1:10.499,,,,,,,,,,,,
18,33,25.861,1:10.577,,,,,,,,,,,,
18,3,28.622,1:11.058,,,,,,,,,,,,
18,8,32.603,1:12.689,,,,,,,,,,,,
18,12,36.937,1:12.753,,,,,,,,,,,,
18,22,37.540,1:12.771,,,,,,,,,,,,
18,27,38.460,1:12.935,,,,,,,,,,,,
18,21,39.292,1:15.260,,,,,,,,,,,,
18,77,39.562,1:13.041,,,,,,,,,,,,
18,14,41.180,1:11.666,,,,,,,,,,,,
18,11,42.494,1:11.385,,,,,,,,,,,,
18,55,45.405,1:11.588,,,,,,,,,,,,
18,88,46.946,1:13.728,,,,,,,,,,,,
18,94,48.588,1:12.003,,,,,,,,,,,,
18,20,49.198,1:11.817,,,,,,,,,,,,
